,1V,,1.25V,,2.5V,,3.75V,,5V,
1.45157,53217.181692,1.49859,61631.104172,1.45157,147025.72532,1.45393,227803.61482,1.45157,308714.47232,
1.5,54222.862887,1.54307,42243.154697,1.5,122944.3841,1.5,191867.59691,1.5,264607.79614,
1.50157,54741.575787,1.54859,39778.087487,1.50157,121538.79881,1.50393,184776.23203,1.50157,260575.55227,
1.55,41739.111381,1.59307,38911.964994,1.55,55478.587588,1.55,75068.988291,1.55,94132.012261,
1.55157,41641.177205,1.59859,38900.844998,1.55157,55033.141467,1.55393,72390.863404,1.55157,92123.961741,
1.6,40953.425874,1.64307,38672.022708,1.6,52390.483013,1.6,67006.917475,1.6,81165.184872,
1.60157,40932.474013,1.64859,38668.534591,1.60157,52306.179353,1.60393,66557.197642,1.60157,80812.461453,
1.65,40753.558565,1.69307,38576.55954,1.65,51602.241958,1.65,65173.579407,1.65,78023.98963,
1.65157,40746.063207,1.69859,38575.157996,1.65157,51572.630346,1.65393,65021.587618,1.65157,77909.163652,
1.7,40673.757601,1.74307,38530.463263,1.7,51294.392873,1.7,64485.682241,1.7,76852.71242,
1.70157,40670.481899,1.74859,38529.775968,1.70157,51282.117277,1.70393,64423.878207,1.70157,76806.824188,
1.75,40633.589214,1.79307,38495.783107,1.75,51158.341224,1.75,64192.647667,1.75,76359.097704,
1.75157,40631.662536,1.79859,38495.244882,1.75157,51152.591691,1.75393,64165.090868,1.75157,76339.138724,
1.8,40599.532276,1.84307,38434.901171,1.8,51084.216367,1.8,64052.275836,1.8,76133.794714,
1.80157,40597.322606,1.84859,38433.911037,1.80157,51080.481716,1.80393,64037.550066,1.80157,76124.197971,
1.85,40532.869426,1.89307,38109.797211,1.85,51005.935009,1.85,63951.500806,1.85,76003.710003,
1.85157,40527.291496,1.89859,38104.020729,1.85157,51000.229811,1.85393,63936.284044,1.85157,75996.76896,
1.9,40168.09436,1.94307,15027.173824,1.9,50681.298489,1.9,63670.857683,1.9,75764.91105,
1.90157,40141.709971,1.94859,14649.138889,1.90157,50652.200272,1.90393,63603.267393,1.90157,75743.046868,
1.95,13795.221274,,,1.95,31909.043942,1.95,51592.43946,1.95,68490.453241,
1.95157,12496.580074,,,1.95157,30142.966745,1.95393,48593.529138,1.95157,67808.20763,
,,,,2,3071.7526483,2,22394.893247,2,42376.73894,
