,1 Hz,,2 Hz,,5 Hz,,10 Hz,,20Hz,,50 Hz,,100 Hz,,200 Hz,,250 Hz,,500 Hz,frequesncy,EPSC Gain,
0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,,,
0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,,,
0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,,,
0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,0.00500015,-4.083507313E-11,,,
0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,0.00500031,-4.13218489E-11,,,
0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,0.00500063,-4.140861741E-11,,,
0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,0.00500127,1.946407248E-11,,,
0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,0.00500191,2.519939372E-12,,,
0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,0.00500319,2.330157703E-12,,,
0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,0.0050057362582,2.269475434E-12,,,
0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,0.0050081368094,2.362181757E-12,,,
0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,0.0050098320403,2.429648801E-12,,,
0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,0.0050113721205,2.362493664E-12,,,
