,CW10,,Cw11,,CW12,,CW13,,,,,,
,,1.7,2.306391726E-7,1.7,2.186698997E-7,1.725,1.89624521E-7,,,,,,
,,1.725,2.639103914E-7,1.725,2.509198419E-7,1.75,2.195640417E-7,,,,,,
,,1.75,2.98805885E-7,1.75,2.848525419E-7,1.775,2.513044934E-7,,,,,,
,,1.775,3.351823775E-7,1.775,3.203250984E-7,1.8,2.847017466E-7,,,,,,
,,1.8,3.729110566E-7,1.8,3.572073263E-7,1.825,3.196210426E-7,,,,,,
,,1.825,4.118768608E-7,1.825,3.953817343E-7,1.85,3.559384136E-7,,,,,,
,,1.85,4.519773502E-7,1.85,4.347428774E-7,1.875,3.93541035E-7,,,,,,
,,1.875,4.931214416E-7,1.875,4.751964105E-7,1.9,4.323269245E-7,,,,,,
,,1.9,5.35228156E-7,1.9,5.166580402E-7,1.925,4.722042803E-7,,,,,,
,,1.925,5.78225448E-7,1.925,5.590524795E-7,1.95,5.130906526E-7,,,,,,
,,1.95,6.220491475E-7,1.95,6.023124622E-7,1.975,5.549120645E-7,,,,,,
,,1.975,6.666420167E-7,1.975,6.463778392E-7,2,5.976021486E-7,,,,,,
,,2,7.119529202E-7,2,6.911947658E-7,2.025,6.411013352E-7,,,,,,
,,2.025,7.579360966E-7,2.025,7.367149771E-7,2.05,6.853561076E-7,,,,,,
,,2.05,8.045505215E-7,2.05,7.82895146E-7,2.075,7.303183314E-7,,,,,,
,,2.075,8.517593504E-7,2.075,8.296963177E-7,2.1,7.759446545E-7,,,,,,
,,2.1,8.995294314E-7,2.1,8.770834103E-7,2.125,8.221959747E-7,,,,,,
,,2.125,9.478308788E-7,2.125,9.250247754E-7,2.15,8.690369695E-7,,,,,,
,,2.15,9.966366994E-7,2.15,9.734918119E-7,2.175,9.164356796E-7,,,,,,
,,2.175,1.045922465E-6,2.175,1.022458625E-6,2.2,9.643631428E-7,,,,,,
,,2.2,1.095666025E-6,2.2,1.071901727E-6,2.225,1.012793071E-6,,,,,,
,,2.225,1.145847255E-6,2.225,1.121799773E-6,2.25,1.061701562E-6,,,,,,
,,2.25,1.196447834E-6,2.25,1.17213333E-6,2.275,1.111066853E-6,,,,,,
,,2.275,1.24745105E-6,2.275,1.222884671E-6,2.3,1.160869092E-6,,,,,,
,,2.3,1.298841631E-6,2.3,1.274037595E-6,2.325,1.211090145E-6,,,,,,
,,2.325,1.350605592E-6,2.325,1.325577267E-6,2.35,1.261713417E-6,,,,,,
,,2.35,1.402730105E-6,2.35,1.377490083E-6,2.375,1.312723705E-6,,,,,,
,,2.375,1.45520338E-6,2.375,1.42976354E-6,2.4,1.364107054E-6,,,,,,
,,2.4,1.508014561E-6,2.4,1.482386128E-6,2.425,1.415850638E-6,,,,,,
,,2.425,1.56115364E-6,2.425,1.535347237E-6,2.45,1.467942654E-6,,,,,,
,,2.45,1.614611369E-6,2.45,1.588637066E-6,2.475,1.520372223E-6,,,,,,
,,2.475,1.668379196E-6,2.475,1.64224655E-6,2.5,1.573129303E-6,,,,,,
,,2.5,1.722449193E-6,2.5,1.696167293E-6,2.525,1.626204618E-6,,,,,,
,,2.525,1.776814006E-6,2.525,1.750391501E-6,2.55,1.679589584E-6,,,,,,
,,2.55,1.831466801E-6,2.55,1.804911937E-6,2.575,1.733276249E-6,,,,,,
,,2.575,1.886401216E-6,2.575,1.859721864E-6,2.6,1.787257241E-6,,,,,,
,,2.6,1.941611328E-6,2.6,1.914815009E-6,2.625,1.841525714E-6,,,,,,
,,2.625,1.997091607E-6,2.625,1.970185517E-6,2.65,1.896075306E-6,,,,,,
,,2.65,2.052836888E-6,2.65,2.025827921E-6,2.675,1.950900097E-6,,,,,,
,,2.675,2.108842341E-6,2.675,2.081737107E-6,2.7,2.005994574E-6,,,,,,
,,2.7,2.165103444E-6,2.7,2.137908285E-6,2.725,2.061353598E-6,,,,,,
,,2.725,2.221615955E-6,2.725,2.194336968E-6,2.75,2.116972373E-6,,,,,,
,,2.75,2.278375894E-6,2.75,2.25101894E-6,2.775,2.172846419E-6,,,,,,
,,2.775,2.335379522E-6,2.775,2.307950243E-6,2.8,2.228971549E-6,,,,,,
,,2.8,2.392623318E-6,2.8,2.365127149E-6,2.825,2.285360246E-6,,,,,,
,,2.825,2.45010397E-6,2.825,2.42254615E-6,2.85,2.341959631E-6,,,,,,
,,2.85,2.507836529E-6,2.85,2.480203936E-6,2.875,2.398830962E-6,,,,,,
,,2.875,2.565763515E-6,2.875,2.538097383E-6,2.9,2.455908129E-6,,,,,,
,,2.9,2.623953751E-6,2.9,2.596241836E-6,2.925,2.513252581E-6,,,,,,
,,2.925,2.682335187E-6,2.925,2.654579607E-6,2.95,2.570791962E-6,,,,,,
,,2.95,2.740974708E-6,2.95,2.713179813E-6,2.975,2.628594528E-6,,,,,,
,,2.975,2.799798429E-6,2.975,2.771971037E-6,3,2.68658896E-6,,,,,,
,,3,2.858877642E-6,3,2.831021269E-6,3.025,2.744841838E-6,,,,,,
,,3.025,2.918134765E-6,3.025,2.89025208E-6,3.05,2.803279457E-6,,,,,,
,,3.05,2.977644537E-6,3.05,2.949738884E-6,3.075,2.861973044E-6,,,,,,
,,3.075,3.037327511E-6,3.075,3.009405041E-6,3.1,2.92084594E-6,,,,,,
,,3.1,3.097260791E-6,3.1,3.069323141E-6,3.125,2.97997219E-6,,,,,,
,,3.125,3.157361539E-6,3.125,3.129413859E-6,3.15,3.039272747E-6,,,,,,
,,3.15,3.217710671E-6,3.15,3.189754815E-6,3.175,3.09891653E-6,,,,,,
,,3.175,3.278223062E-6,3.175,3.250263896E-6,3.2,3.158545815E-6,,,,,,
,,3.2,3.338982191E-6,3.2,3.311021163E-6,3.225,3.218592959E-6,,,,,,
,,3.225,3.399899464E-6,3.225,3.371941745E-6,3.25,3.278652461E-6,,,,,,
,,3.25,3.46106227E-6,3.25,3.433109103E-6,3.275,3.339113946E-6,,,,,,
,,3.275,3.522379143E-6,3.275,3.494435075E-6,3.3,3.399581191E-6,,,,,,
,,3.3,3.583941012E-6,3.3,3.556006648E-6,3.325,3.460435034E-6,,,,,,
,,3.325,3.645651382E-6,3.325,3.617732489E-6,3.35,3.521321542E-6,,,,,,
,,3.35,3.707605302E-6,3.35,3.679703483E-6,3.375,3.58257718E-6,,,,,,
,,3.375,3.769706231E-6,3.375,3.741823406E-6,3.4,3.643863934E-6,,,,,,
,,3.4,3.832070476E-6,3.4,3.804188024E-6,3.425,3.705504937E-6,,,,,,
,,3.425,3.894534415E-6,3.425,3.86669796E-6,3.45,3.767199556E-6,,,,,,
,,3.45,3.957273623E-6,3.45,3.929461093E-6,3.475,3.829232251E-6,,,,,,
,,3.475,4.020127241E-6,3.475,3.992346907E-6,3.5,3.891320253E-6,,,,,,
,,3.5,4.083240232E-6,3.5,4.05548564E-6,3.525,3.95373183E-6,,,,,,
,,3.525,4.14647653E-6,3.525,4.118761551E-6,3.55,4.01621844E-6,,,,,,
,,3.55,4.209957663E-6,3.55,4.182274548E-6,3.575,4.079013347E-6,,,,,,
,,3.575,4.273574547E-6,3.575,4.245933672E-6,3.6,4.141887018E-6,,,,,,
,,3.6,4.337421799E-6,3.6,4.309815356E-6,3.625,4.205054906E-6,,,,,,
,,3.625,4.401413946E-6,3.625,4.37385547E-6,3.65,4.268347071E-6,,,,,,
,,3.65,4.465622725E-6,3.65,4.438103746E-6,3.675,4.331819844E-6,,,,,,
,,3.675,4.529987723E-6,3.675,4.502519514E-6,3.7,4.395540272E-6,,,,,,
,,3.7,4.594555882E-6,3.7,4.567129802E-6,3.725,4.459412781E-6,,,,,,
,,3.725,4.659289165E-6,3.725,4.631918693E-6,3.75,4.523449983E-6,,,,,,
,,3.75,4.724212712E-6,3.75,4.696888783E-6,3.775,4.587723137E-6,,,,,,
,,3.775,4.789342243E-6,3.775,4.76204618E-6,3.8,4.652169809E-6,,,,,,
,,3.8,4.854591652E-6,3.8,4.827372053E-6,3.825,4.716757733E-6,,,,,,
,,3.825,4.920034E-6,3.825,4.892926473E-6,3.85,4.781572519E-6,,,,,,
,,3.85,4.985710506E-6,3.85,4.958588656E-6,3.875,4.846576817E-6,,,,,,
,,3.875,5.051496062E-6,3.875,5.024432974E-6,3.9,4.911724488E-6,,,,,,
,,3.9,5.117464352E-6,3.9,5.090534436E-6,3.925,4.977085385E-6,,,,,,
,,3.925,5.183681495E-6,3.925,5.156733755E-6,3.95,5.042652417E-6,,,,,,
,,3.95,5.249982458E-6,3.95,5.223105122E-6,3.975,5.108367721E-6,,,,,,
,,3.975,5.316458185E-6,3.975,5.289747454E-6,4,5.174266226E-6,,,,,,
,,4,5.383196549E-6,4,5.356461064E-6,4.025,5.240343427E-6,,,,,,
,,4.025,5.450031645E-6,4.025,5.423339018E-6,4.05,5.306600935E-6,,,,,,
,,4.05,5.517028286E-6,4.05,5.490502839E-6,4.075,5.373036166E-6,,,,,,
,,4.075,5.584295022E-6,4.075,5.557750916E-6,4.1,5.439648367E-6,,,,,,
,,4.1,5.651662517E-6,4.1,5.625150468E-6,4.125,5.506440046E-6,,,,,,
,,4.125,5.719202504E-6,4.125,5.692841482E-6,4.15,5.573408907E-6,,,,,,
,,4.15,5.786908311E-6,4.15,5.760622579E-6,4.175,5.640551646E-6,,,,,,
,,4.175,5.854783022E-6,4.175,5.828575782E-6,4.2,5.707871053E-6,,,,,,
,,4.2,5.922824907E-6,4.2,5.896694777E-6,4.225,5.775365426E-6,,,,,,
,,4.225,5.991035027E-6,4.225,5.964982639E-6,4.25,5.843035991E-6,,,,,,
,,4.25,6.05941002E-6,4.25,6.033435586E-6,4.275,5.910878158E-6,,,,,,
,,4.275,6.127953366E-6,4.275,6.102058005E-6,4.3,5.978894728E-6,,,,,,
,,4.3,6.196659882E-6,4.3,6.170845709E-6,4.325,6.047081761E-6,,,,,,
,,4.325,6.265531823E-6,4.325,6.239799902E-6,4.35,6.115442391E-6,,,,,,
,,4.35,6.334567341E-6,4.35,6.308920495E-6,4.375,6.183975006E-6,,,,,,
,,4.375,6.403765466E-6,4.375,6.378202997E-6,4.4,6.252676418E-6,,,,,,
,,4.4,6.473125527E-6,4.4,6.447649771E-6,4.425,6.321549435E-6,,,,,,
,,4.425,6.542647133E-6,4.425,6.517259057E-6,4.45,6.390592248E-6,,,,,,
,,4.45,6.612332096E-6,4.45,6.5870301E-6,4.475,6.459803893E-6,,,,,,
,,4.475,6.682176277E-6,4.475,6.656962438E-6,4.5,6.529181464E-6,,,,,,
,,4.5,6.752180048E-6,4.5,6.727055701E-6,4.525,6.598730255E-6,,,,,,
,,4.525,6.822342811E-6,4.525,6.79730945E-6,4.55,6.668444946E-6,,,,,,
,,4.55,6.892666065E-6,4.55,6.867723078E-6,4.575,6.738325809E-6,,,,,,
,,4.575,6.963145709E-6,4.575,6.938295809E-6,4.6,6.808372316E-6,,,,,,
,,4.6,7.033784317E-6,4.6,7.009026799E-6,4.625,6.878583922E-6,,,,,,
,,4.625,7.104577927E-6,4.625,7.079915257E-6,4.65,6.948962378E-6,,,,,,
,,4.65,7.175529174E-6,4.65,7.150962579E-6,4.675,7.01950338E-6,,,,,,
,,4.675,7.246636371E-6,4.675,7.222164572E-6,4.7,7.090207421E-6,,,,,,
,,4.7,7.317898637E-6,4.7,7.293521689E-6,4.725,7.16107622E-6,,,,,,
,,4.725,7.389313078E-6,4.725,7.365035694E-6,4.75,7.232105434E-6,,,,,,
,,4.75,7.460884606E-6,4.75,7.436704852E-6,4.775,7.30329779E-6,,,,,,
,,4.775,7.532605874E-6,4.775,7.508526123E-6,4.8,7.374649227E-6,,,,,,
,,4.8,7.604482862E-6,4.8,7.58050215E-6,4.825,7.446162577E-6,,,,,,
,,4.825,7.67651046E-6,4.825,7.652631207E-6,4.85,7.517836124E-6,,,,,,
,,4.85,7.748688915E-6,4.85,7.724912349E-6,4.875,7.589666696E-6,,,,,,
,,4.875,7.82101768E-6,4.875,7.797342694E-6,4.9,7.661657219E-6,,,,,,
,,4.9,7.89349837E-6,4.9,7.869927154E-6,4.925,7.733806024E-6,,,,,,
,,4.925,7.96612686E-6,4.925,7.942660659E-6,4.95,7.806112209E-6,,,,,,
,,4.95,8.03890584E-6,4.95,8.015543455E-6,4.975,7.878574984E-6,,,,,,
,,4.975,8.111831263E-6,4.975,8.088574987E-6,5,7.951193534E-6,,,,,,
,,5,8.184905761E-6,5,8.161756838E-6,,,,,,,,
