,1V,,2V,,3V,,4V,,5V,,6V,gatevoltage,DC0.4,DC0.6,DC0.8,time,1V,2V,3V,4V,5V,6V,
0.01000031,-9.468955106E-11,0.01000031,-1.920145065E-10,0.01000031,-2.897508516E-10,0.01000031,-3.878308878E-10,0.01000031,-4.861848038E-10,0.01000031,-5.847392128E-10,,,,,,,,,,,,
0.01000063,-9.455849411E-11,0.01000063,-1.915368476E-10,0.01000063,-2.883769422E-10,0.01000063,-3.845644036E-10,0.01000063,-4.794176564E-10,0.01000063,-5.720191891E-10,,,,,,,,,,,,
0.01000127,4.340221795E-11,0.01000127,8.797303512E-11,0.01000127,1.374281804E-10,0.01000127,1.945910496E-10,0.01000127,2.642615871E-10,0.01000127,3.542645642E-10,,,,,,,,,,,,
0.01000255,3.744929338E-12,0.01000255,7.398810053E-12,0.01000255,1.485200538E-11,0.01000255,2.905632783E-11,0.01000255,5.495029939E-11,0.01000255,1.005925453E-10,,,,,,,,,,,,
0.01000511,3.603506376E-12,0.01000511,7.151446368E-12,0.01000511,1.451202552E-11,0.01000511,2.867063136E-11,0.01000511,5.47140747E-11,0.01000511,1.010817973E-10,,,,,,,,,,,,
0.01001023,3.609765409E-12,0.01001023,7.188880793E-12,0.01001023,1.471302949E-11,0.01001023,2.942079261E-11,0.01001023,5.695931281E-11,0.01001023,1.06921624E-10,,,,,,,,,,,,
0.01002047,3.727869453E-12,0.01002047,7.683911947E-12,0.01002047,1.623857429E-11,0.01002047,3.349770433E-11,0.01002047,6.69155712E-11,0.01002047,1.29635825E-10,,,,,,,,,,,,
0.01004095,4.102808349E-12,0.01004095,9.260946595E-12,0.01004095,2.112985136E-11,0.01004095,4.673140425E-11,0.01004095,9.977965655E-11,0.01004095,2.059381601E-10,,,,,,,,,,,,
0.01008191,5.056472421E-12,0.01008191,1.376321821E-11,0.01008191,3.67474086E-11,0.01008191,9.37841711E-11,0.01008191,2.286276941E-10,0.01008191,5.289243678E-10,,,,,,,,,,,,
0.01016383,7.607111231E-12,0.01016383,2.935099982E-11,0.01016383,1.059854964E-10,0.01016383,3.537326455E-10,0.01016383,1.058775978E-9,0.01016383,2.712333829E-9,,,,,,,,,,,,
0.01032767,1.622330353E-11,0.01032767,1.175922037E-10,0.01032767,7.13039836E-10,0.01032767,3.143406485E-9,0.01032767,9.646390848E-9,0.01032767,2.31682917E-8,,,,,,,,,,,,
0.01065535,6.346834111E-11,0.01065535,1.26960681E-9,0.01065535,1.011810818E-8,0.010579223601,2.522418343E-8,0.01065535,6.747813964E-8,0.01065535,8.426114445E-8,,,,,,,,,,,,
0.01131071,6.503248198E-10,0.011232294637,1.718478446E-8,0.01131071,7.315236821E-8,0.011075830609,8.415421324E-8,0.01131071,1.189638005E-7,0.011115397619,1.23012351E-7,,,,,,,,,,,,
0.012,3.871279154E-9,0.012,6.721749453E-8,0.012,1.041387636E-7,0.011788522674,1.21950769E-7,0.011762860391,1.364943189E-7,0.011264606564,1.307894388E-7,,,,,,,,,,,,
